Employee_ID,Age,Attrition,Business_Travel,Department,Distance_From_Home,Education,Environment_Satisfaction,Gender,Salary,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Number_of_Companies_Worked_previously,Overtime,Salary_Hike_in_percent,Total_working_years_experience,Work_life_balance,No_of_years_worked_at_current_company,No_of_years_in_current_role,Years_since_last_promotion
8123,56,Yes,Travel Rarely,Data Science,39,Below College,3,female,80065,2,5,QA Analyst,3,Divorced,6,No,20,20,1,9,2,5
3788,54,No,Travel Rarely,Cyber Security,46,Degree,3,FEMALE,96561,4,6,Director,4,Single,3,Yes,26,8,5,6,8,5
7506,22,No,Travel Rarely,Cyber Security,1,Graduation,3,female,156555,1,2,IT,4,Divorced,4,No,62,16,5,10,10,1
1395,29,No,Travel Frequently,Software Development,8,Graduation,4,male,77262,5,7,IT,1,Married,5,No,61,20,3,0,0,0
3020,54,No,Travel Rarely,Cyber Security,40,Graduation,1,female,181250,4,6,Developer,3,Divorced,7,No,78,20,2,4,1,1
5589,52,No,Travel Rarely,Network Administration,15,Below College,2,MALE,110423,3,8,Director,2,Married,0,No,73,6,2,1,0,1
8124,20,No,Travel Rarely,Cyber Security,45,Graduation,3,MALE,115135,1,1,Business Analyst,1,Divorced,2,Yes,78,0,4,8,0,5
7205,61,No,Travel Frequently,Data Science,11,Master's,5,MALE,43427,4,8,Support,5,Married,9,No,79,4,4,10,2,4
6072,44,No,Travel Rarely,IT Services,30,Below College,1,MALE,173990,5,6,HR,5,Single,3,No,4,1,4,0,1,6
2416,33,No,Travel Rarely,Software Development,2,Graduation,3,FEMALE,55252,5,1,IT,3,Divorced,9,No,8,20,4,4,6,5
3510,39,No,Travel Rarely,IT Services,27,PhD,4,MALE,114151,5,2,QA Analyst,5,Divorced,6,No,37,10,5,5,2,6
9596,39,No,Travel Frequently,IT Services,42,Degree,2,female,87696,3,3,Help Desk,5,Single,9,No,15,8,4,6,6,2
7149,34,No,No Travel,Network Administration,39,Degree,2,FEMALE,67099,3,7,Help Desk,2,Married,4,Yes,64,5,2,4,7,6
9760,47,No,Travel Rarely,Network Administration,26,Below College,4,MALE,96128,3,2,Software Engineer,2,Divorced,7,No,74,7,3,4,5,1
9159,49,Yes,Travel Rarely,Software Development,36,Graduation,5,MALE,127778,4,4,Help Desk,3,Divorced,6,No,94,17,5,3,2,0
3391,53,No,Travel Rarely,Software Development,37,Degree,1,FEMALE,155574,5,1,Technician,5,Single,8,No,34,0,1,2,1,0
1068,30,No,Travel Rarely,IT Services,5,Graduation,3,female,95109,1,2,Support,2,Married,5,No,86,7,5,8,1,5
5632,34,Yes,No Travel,Data Science,16,Graduation,1,MALE,103031,2,1,Director,1,Married,8,No,86,19,2,4,6,3
5200,26,No,Travel Rarely,IT Services,50,Master's,5,female,72134,5,7,Help Desk,4,Divorced,6,No,50,16,1,2,9,8
7171,51,Yes,No Travel,Data Science,22,Graduation,2,FEMALE,46119,1,5,IT,4,Divorced,3,No,67,10,1,9,3,2
5338,63,Yes,Travel Rarely,Cyber Security,39,Graduation,3,female,94268,3,6,Manager,1,Single,7,No,16,7,3,6,2,8
7874,32,Yes,Travel Rarely,IT Services,27,Graduation,5,female,68100,2,7,Support,5,Married,1,No,59,1,,9,4,6
9303,28,No,Travel Rarely,Software Development,1,Graduation,1,FEMALE,180944,2,5,Help Desk,5,Divorced,9,No,12,9,3,9,4,7
740,26,No,Travel Rarely,Cyber Security,17,Below College,1,male,211965,4,4,HR,3,Divorced,5,No,50,10,3,5,6,4
275,41,No,Travel Rarely,Network Administration,1,Graduation,5,male,38989,5,1,HR,5,Married,8,No,10,1,5,1,2,5
6979,62,No,Travel Rarely,IT Services,20,Master's,4,female,155790,3,7,Support,4,Divorced,10,No,90,5,3,5,9,8
8984,52,Yes,Travel Frequently,Data Science,11,Degree,2,male,66837,2,1,Consultant,4,Married,8,Yes,13,12,2,0,8,4
8565,30,No,Travel Rarely,Cyber Security,3,Graduation,4,FEMALE,75007,5,6,Manager,1,Married,3,No,71,11,4,4,8,4
3881,53,No,Travel Rarely,Cyber Security,22,Graduation,3,female,177327,5,5,Support,4,Divorced,5,Yes,59,16,3,1,0,8
7562,23,No,Travel Rarely,Cyber Security,14,Master's,5,FEMALE,189706,1,7,Business Analyst,4,Married,0,Yes,17,10,5,10,5,4
6907,18,No,No Travel,Data Science,44,Degree,4,MALE,177177,2,1,HR,3,Divorced,2,No,54,6,4,5,4,4
7895,41,Yes,No Travel,Data Science,9,Graduation,1,female,35463,2,5,HR,1,Married,5,Yes,64,8,2,0,4,4
5351,35,No,Travel Rarely,Cyber Security,8,Master's,2,male,121453,2,3,Manager,3,Single,2,No,9,11,3,0,1,7
7323,32,Yes,Travel Rarely,Software Development,10,Master's,3,female,180044,1,8,Help Desk,3,Divorced,4,No,60,3,5,9,4,3
4863,52,No,No Travel,Cyber Security,22,PhD,5,male,57396,2,6,Software Engineer,2,Divorced,8,Yes,53,15,2,4,1,5
9406,35,No,Travel Rarely,IT Services,37,Below College,4,male,83889,3,8,QA Analyst,1,Single,10,Yes,3,4,3,10,0,1
8326,51,No,No Travel,IT Services,14,Degree,5,female,31358,3,5,QA Analyst,5,Divorced,0,No,86,18,3,6,7,0
7689,56,Yes,Travel Rarely,IT Services,29,Master's,3,female,79865,4,1,IT,4,Single,9,No,65,15,5,0,0,6
3681,27,Yes,Travel Rarely,Cyber Security,37,Degree,1,FEMALE,196741,2,7,Software Engineer,5,Single,9,No,47,16,2,4,8,7
4312,50,No,Travel Rarely,Software Development,14,Below College,4,MALE,168364,5,4,QA Analyst,2,Married,2,No,18,17,1,6,8,2
6933,53,No,Travel Rarely,Cyber Security,29,Degree,3,male,117878,5,8,Software Engineer,,Divorced,9,Yes,87,8,2,4,0,5
7386,54,No,No Travel,IT Services,34,Master's,2,FEMALE,179732,3,7,Director,2,Married,10,No,30,13,4,3,1,3
5681,60,No,Travel Rarely,Software Development,36,Graduation,2,male,91274,3,7,Director,4,Single,8,No,74,5,2,0,0,6
483,45,No,Travel Rarely,IT Services,36,Graduation,3,female,79768,2,3,Director,3,Single,4,No,72,4,4,9,0,3
6357,49,No,Travel Rarely,IT Services,14,Master's,4,male,158071,4,6,Help Desk,4,Single,8,No,74,10,2,10,6,6
8240,55,No,Travel Rarely,Data Science,40,Graduation,5,female,49877,2,4,Developer,3,Divorced,7,No,22,9,5,2,1,5
2226,27,No,No Travel,Data Science,40,Degree,4,male,75304,4,5,Director,5,Married,0,No,0,7,3,6,6,7
3187,63,No,No Travel,Cyber Security,7,Degree,2,male,79536,3,6,Manager,1,Single,6,No,21,6,1,4,6,2
8965,23,No,Travel Rarely,Cyber Security,24,Below College,4,female,140460,4,5,Technician,,Divorced,3,Yes,50,6,4,1,4,2
8721,39,No,Travel Frequently,Cyber Security,24,Degree,1,FEMALE,164019,5,3,Support,5,Single,3,No,67,6,2,6,9,4
2546,28,Yes,Travel Rarely,IT Services,47,Degree,2,male,83701,4,3,Help Desk,5,Divorced,0,Yes,36,16,1,8,7,2
6087,52,Yes,Travel Rarely,IT Services,46,Graduation,1,MALE,74957,3,6,HR,4,Married,9,Yes,84,4,4,6,8,5
6569,23,No,Travel Rarely,Data Science,10,Graduation,2,FEMALE,166216,1,2,Developer,4,Married,3,No,12,11,4,8,8,7
2756,62,No,No Travel,Software Development,17,Graduation,5,male,46489,1,8,HR,2,Married,4,No,76,4,1,6,9,1
2866,42,Yes,Travel Frequently,Data Science,11,Below College,3,FEMALE,163473,2,6,Support,4,Divorced,0,Yes,61,2,2,1,8,6
9084,46,No,Travel Rarely,Cyber Security,19,Degree,2,MALE,139574,1,5,QA Analyst,2,Divorced,5,No,81,1,3,7,0,6
8511,38,Yes,Travel Rarely,Software Development,19,Degree,5,MALE,99373,1,1,Manager,1,Divorced,2,No,41,10,2,5,5,3
828,38,No,Travel Rarely,IT Services,21,Degree,1,male,167742,5,5,QA Analyst,2,Married,5,No,78,6,5,9,8,4
1105,35,No,Travel Rarely,Network Administration,8,Graduation,4,female,82955,5,5,Software Engineer,2,Divorced,4,No,69,9,1,8,4,8
7604,22,No,Travel Frequently,Cyber Security,28,Master's,4,male,204598,2,1,Director,3,Single,1,Yes,57,16,4,2,8,5
6163,61,Yes,Travel Rarely,Data Science,15,Below College,2,female,211425,1,4,Support,5,Single,4,No,97,5,3,6,7,5
8502,56,No,Travel Rarely,IT Services,43,Below College,3,male,188966,2,2,Software Engineer,2,Divorced,7,No,72,14,5,2,1,1
8403,43,No,Travel Rarely,IT Services,41,Below College,4,male,171936,5,8,IT,5,Single,6,No,11,13,2,3,1,6
8423,51,No,Travel Rarely,Data Science,6,Below College,4,FEMALE,121575,1,5,Software Engineer,4,Single,0,No,43,17,1,10,6,2
3428,52,Yes,Travel Rarely,Network Administration,32,Degree,2,female,103021,2,7,Manager,3,Single,8,No,17,15,2,5,7,2
1192,33,Yes,No Travel,Data Science,49,Degree,3,female,152495,1,2,Manager,5,Single,7,No,41,8,2,1,0,3
425,54,No,Travel Rarely,Network Administration,23,Master's,1,FEMALE,99546,4,2,Technician,5,Single,10,Yes,30,11,1,1,9,3
3048,42,No,Travel Rarely,Cyber Security,20,Degree,1,male,93054,3,7,Help Desk,1,Divorced,9,No,4,0,5,9,0,2
2247,42,No,Travel Frequently,IT Services,43,Degree,4,MALE,158442,2,6,Manager,,Divorced,2,No,30,11,4,8,1,1
8208,62,Yes,No Travel,Data Science,50,Graduation,4,male,65054,3,2,Developer,5,Married,1,No,43,14,1,10,2,7
6891,20,No,Travel Rarely,Software Development,41,Degree,3,FEMALE,133413,3,5,Manager,3,Single,6,No,38,18,2,5,7,6
3822,38,No,Travel Rarely,Network Administration,29,Degree,5,male,121407,2,4,QA Analyst,2,Single,1,No,100,12,4,6,7,1
5355,39,No,No Travel,IT Services,31,PhD,4,FEMALE,40604,2,3,IT,1,Single,4,No,91,18,5,2,0,8
1868,42,Yes,Travel Rarely,Data Science,34,Master's,3,MALE,52953,2,3,Help Desk,,Divorced,5,No,56,17,1,8,1,3
2595,45,No,Travel Frequently,Software Development,43,Graduation,4,FEMALE,193782,2,2,Software Engineer,2,Divorced,8,No,60,16,5,8,3,4
7789,53,No,Travel Frequently,Data Science,21,Degree,4,female,147006,4,3,IT,4,Married,5,No,24,12,5,3,4,0
7769,21,No,Travel Rarely,Data Science,34,Degree,1,male,49217,1,4,Director,5,Single,3,No,30,2,5,4,3,1
9064,56,Yes,Travel Frequently,Software Development,42,Graduation,1,MALE,184531,5,7,Support,5,Married,6,No,15,8,1,5,9,4
4906,61,No,No Travel,Network Administration,27,Graduation,5,male,170510,5,2,IT,5,Divorced,0,No,27,5,4,6,7,6
2749,57,No,Travel Rarely,Data Science,35,Master's,5,MALE,129694,3,2,Support,5,Single,5,Yes,58,10,4,0,10,3
4238,53,No,Travel Rarely,IT Services,26,Master's,2,FEMALE,186532,2,6,Software Engineer,2,Divorced,1,No,79,12,4,1,3,3
4693,46,No,Travel Rarely,IT Services,2,Master's,3,FEMALE,62079,5,2,Business Analyst,5,Single,10,No,0,7,5,5,0,3
2027,25,No,Travel Rarely,Data Science,36,Degree,3,FEMALE,62908,4,2,Consultant,2,Divorced,1,No,71,6,5,2,7,0
8013,33,Yes,No Travel,Cyber Security,17,Graduation,5,MALE,90548,1,5,IT,5,Married,0,No,65,13,2,10,10,8
1668,37,No,Travel Rarely,Data Science,14,Graduation,2,MALE,196382,2,3,Help Desk,2,Married,10,No,70,4,5,8,1,2
111,26,No,Travel Rarely,Network Administration,4,Graduation,5,male,166018,1,8,Business Analyst,5,Married,5,No,66,13,5,6,5,3
5020,56,No,Travel Rarely,Cyber Security,14,Below College,2,FEMALE,148633,1,5,Business Analyst,1,Married,8,No,82,11,4,0,5,4
196,56,No,Travel Rarely,IT Services,6,Degree,5,male,82475,5,8,Business Analyst,2,Single,0,Yes,14,9,2,1,4,6
6730,50,No,Travel Rarely,Cyber Security,25,Below College,4,female,109293,2,5,Support,,Married,4,Yes,36,1,5,0,10,0
4073,31,Yes,Travel Frequently,Software Development,47,Degree,1,MALE,51546,3,8,IT,2,Married,4,Yes,20,9,3,5,3,3
7025,63,No,No Travel,Network Administration,18,Master's,5,female,156307,1,3,HR,4,Married,6,Yes,69,6,3,4,4,2
6961,21,Yes,Travel Rarely,Data Science,11,PhD,2,MALE,136210,5,3,IT,2,Single,5,Yes,73,7,,1,1,6
7016,29,No,Travel Rarely,Software Development,36,Master's,1,male,165902,1,8,IT,2,Divorced,9,No,57,9,1,3,9,0
6629,48,Yes,No Travel,IT Services,28,Graduation,5,female,126667,4,6,Support,3,Single,7,No,19,6,2,0,9,8
378,53,No,Travel Rarely,IT Services,2,Master's,4,FEMALE,106501,4,3,Support,1,Single,2,No,73,12,1,2,2,8
4522,38,No,Travel Rarely,IT Services,48,Graduation,4,male,36908,4,6,QA Analyst,,Married,9,Yes,47,11,1,9,1,3
6313,18,No,Travel Rarely,Cyber Security,48,Master's,4,FEMALE,55882,2,4,Manager,3,Divorced,10,No,58,16,5,8,3,8
6727,44,No,Travel Rarely,Cyber Security,5,Degree,4,FEMALE,106919,3,2,Consultant,4,Married,3,No,69,20,2,4,2,4
4045,44,No,Travel Rarely,Cyber Security,3,PhD,1,female,153741,3,1,Help Desk,5,Single,9,No,20,13,1,5,7,8
3542,61,No,Travel Rarely,Network Administration,6,Graduation,2,male,127635,1,4,HR,5,Divorced,8,Yes,64,7,3,6,10,2
4765,34,No,No Travel,Network Administration,19,Degree,1,male,92217,2,3,QA Analyst,3,Married,10,No,98,16,4,4,6,7
2115,31,No,Travel Rarely,Software Development,24,Below College,2,female,53998,2,6,Business Analyst,2,Married,7,No,35,1,3,5,2,2
8624,47,No,Travel Rarely,Software Development,28,Degree,5,FEMALE,162759,4,4,IT,5,Single,8,No,8,10,2,6,9,3
5500,25,Yes,Travel Frequently,Software Development,41,Master's,2,female,74316,3,2,Business Analyst,2,Single,0,Yes,29,15,5,7,2,4
1182,30,No,Travel Rarely,Network Administration,12,Graduation,4,female,104299,3,3,QA Analyst,3,Divorced,6,Yes,37,6,3,4,2,8
6194,22,Yes,No Travel,IT Services,19,Master's,3,MALE,194955,4,1,Support,4,Married,5,Yes,100,17,3,2,7,2
8686,54,No,No Travel,Cyber Security,8,PhD,1,MALE,191527,2,6,Technician,2,Divorced,3,Yes,69,18,3,8,2,3
7111,37,Yes,Travel Rarely,Data Science,17,PhD,3,FEMALE,192884,2,1,QA Analyst,1,Divorced,9,No,22,17,3,1,7,8
714,39,No,Travel Rarely,Software Development,31,Below College,5,MALE,111242,2,2,Business Analyst,2,Married,4,No,52,0,3,4,8,5
5495,48,No,No Travel,Network Administration,46,Degree,4,FEMALE,122964,2,4,Support,3,Divorced,3,No,54,13,1,5,1,0
3074,43,No,Travel Rarely,Cyber Security,10,Degree,1,MALE,82294,1,5,Technician,2,Married,4,No,29,15,5,4,2,7
9633,41,No,Travel Rarely,Cyber Security,12,Master's,4,female,148293,4,1,QA Analyst,5,Single,9,Yes,96,14,2,1,4,1
3194,52,No,Travel Rarely,IT Services,27,Graduation,5,female,187235,4,1,Business Analyst,3,Single,4,Yes,6,5,2,6,1,4
9040,53,Yes,Travel Rarely,Cyber Security,37,Master's,2,male,200028,1,5,Software Engineer,2,Divorced,6,No,11,11,4,6,10,5
435,57,No,Travel Rarely,Data Science,23,Graduation,1,male,,2,5,Support,3,Divorced,0,No,45,20,5,4,3,5
237,20,No,No Travel,Software Development,47,Master's,5,female,189910,5,4,Business Analyst,4,Married,10,Yes,81,11,5,6,5,0
5004,54,No,Travel Rarely,Cyber Security,5,Below College,2,FEMALE,164247,2,7,Support,2,Married,1,Yes,23,15,2,8,3,1
8317,53,No,Travel Rarely,Data Science,14,Graduation,5,FEMALE,215890,1,6,QA Analyst,,Divorced,7,Yes,56,4,3,2,0,7
7659,56,Yes,Travel Rarely,Cyber Security,9,Graduation,3,male,142494,1,5,IT,3,Single,10,No,7,8,2,3,9,2
9403,32,Yes,Travel Rarely,IT Services,35,Degree,5,FEMALE,169133,5,5,Business Analyst,5,Single,4,No,15,5,5,10,1,4
3972,25,No,No Travel,Data Science,50,Graduation,1,FEMALE,74514,3,8,QA Analyst,4,Divorced,7,No,99,17,4,7,6,5
4419,49,No,Travel Rarely,Network Administration,5,PhD,4,MALE,101743,3,7,Director,4,Single,5,No,20,13,5,9,9,1
5342,38,Yes,Travel Rarely,Cyber Security,40,Graduation,1,female,164490,4,6,Business Analyst,5,Married,9,No,52,5,1,10,2,6
9800,56,Yes,Travel Rarely,Data Science,36,Graduation,5,MALE,48296,5,1,Business Analyst,5,Married,2,No,25,6,5,8,2,2
2413,31,No,Travel Rarely,Data Science,7,PhD,4,female,134987,3,8,HR,5,Single,4,No,80,12,1,3,6,3
3260,44,Yes,Travel Rarely,IT Services,22,Below College,1,FEMALE,111200,1,3,IT,2,Single,4,No,52,16,1,4,6,8
5058,26,Yes,Travel Rarely,Software Development,20,Graduation,1,MALE,148702,5,4,QA Analyst,5,Single,8,No,53,1,4,5,2,5
4818,63,No,Travel Rarely,Software Development,23,Graduation,1,female,105859,2,6,Manager,5,Single,8,Yes,92,12,5,5,3,5
6375,24,No,Travel Rarely,Data Science,1,Master's,4,female,,5,6,Manager,4,Divorced,5,No,30,17,2,4,10,5
9595,58,Yes,Travel Frequently,Software Development,17,Graduation,3,MALE,,3,3,Help Desk,1,Married,1,No,81,0,1,9,8,2
1262,59,No,Travel Rarely,Cyber Security,21,Graduation,1,female,193503,1,4,Director,1,Married,1,Yes,65,6,5,5,9,1
4743,59,No,Travel Rarely,Data Science,25,Graduation,4,female,173148,3,8,Director,5,Divorced,4,Yes,62,12,5,10,1,1
3832,55,Yes,No Travel,Cyber Security,22,Degree,1,MALE,108021,1,7,IT,2,Divorced,8,Yes,44,3,1,4,6,2
273,41,No,No Travel,Data Science,23,Graduation,3,FEMALE,156980,4,3,Developer,3,Divorced,8,Yes,87,13,1,5,9,8
6600,25,No,Travel Rarely,Software Development,1,Below College,1,female,65548,4,4,IT,3,Divorced,1,No,82,16,3,2,1,0
4595,59,No,Travel Rarely,Software Development,38,PhD,3,FEMALE,48101,3,1,QA Analyst,2,Married,2,Yes,18,17,1,3,5,1
3379,43,No,Travel Frequently,Software Development,49,PhD,5,MALE,160179,1,5,Manager,1,Single,3,No,37,2,5,7,6,4
6347,38,No,Travel Rarely,Data Science,33,Master's,4,FEMALE,,2,7,Help Desk,5,Married,5,Yes,84,1,1,2,0,5
8007,26,No,Travel Frequently,Cyber Security,37,Degree,3,male,150566,1,1,IT,2,Divorced,4,No,91,18,,8,3,0
2370,23,No,Travel Rarely,Cyber Security,8,Graduation,4,MALE,134447,5,1,HR,1,Single,2,No,8,0,3,3,3,1
912,39,No,Travel Rarely,IT Services,18,Below College,5,MALE,57866,5,3,Manager,5,Divorced,2,Yes,5,16,1,8,4,5
6394,58,Yes,No Travel,Software Development,29,Graduation,3,male,135170,2,7,Software Engineer,5,Single,8,No,40,3,1,0,1,8
7605,56,No,Travel Rarely,Cyber Security,2,PhD,1,MALE,60219,5,3,Manager,1,Married,6,No,34,20,1,7,2,3
9768,33,Yes,No Travel,Software Development,4,Degree,2,female,168597,2,7,Developer,2,Married,10,No,24,13,1,6,8,2
2220,56,No,Travel Frequently,Cyber Security,18,Graduation,2,female,188341,1,3,IT,3,Married,5,No,34,0,4,8,3,6
9795,21,Yes,No Travel,Network Administration,2,Graduation,5,female,75356,1,7,Director,1,Married,8,No,90,19,2,1,1,7
7701,55,No,Travel Rarely,Cyber Security,3,Graduation,5,MALE,117795,1,1,IT,2,Divorced,0,Yes,2,20,2,9,8,1
5278,50,Yes,Travel Rarely,Software Development,44,Graduation,2,male,68097,2,1,IT,,Single,4,No,75,7,1,5,1,8
8532,52,Yes,Travel Rarely,Cyber Security,49,Degree,2,male,38384,2,2,Software Engineer,1,Divorced,4,Yes,76,3,3,5,0,6
6354,60,No,Travel Rarely,Data Science,2,PhD,4,female,69651,3,8,HR,2,Married,6,Yes,4,13,3,1,9,1
4984,37,No,Travel Frequently,Data Science,49,Degree,3,FEMALE,142149,1,7,Business Analyst,4,Single,7,No,24,6,5,2,1,0
4217,18,No,No Travel,Data Science,40,Degree,3,MALE,172906,1,8,HR,4,Single,2,No,98,10,3,10,3,7
2321,34,No,No Travel,Software Development,45,PhD,1,male,34174,2,6,Technician,4,Divorced,5,No,62,1,4,6,1,4
9686,54,No,Travel Rarely,Cyber Security,21,Graduation,4,male,90599,1,6,Consultant,3,Divorced,1,Yes,54,14,4,4,7,4
8828,41,No,No Travel,Software Development,38,Master's,3,female,92011,5,2,Manager,2,Married,7,No,80,19,5,3,3,7
515,27,No,Travel Rarely,Data Science,27,Graduation,3,MALE,48071,3,3,Manager,1,Divorced,5,No,12,15,1,0,9,1
3362,44,No,Travel Rarely,IT Services,31,Master's,5,FEMALE,132507,1,5,IT,5,Married,8,No,31,17,3,6,6,4
7779,42,No,Travel Rarely,Data Science,25,Degree,1,FEMALE,202309,5,4,Consultant,1,Single,5,Yes,99,17,3,3,9,2
7946,20,No,Travel Rarely,Cyber Security,36,Degree,1,female,49726,4,1,Director,2,Married,0,No,40,1,4,1,1,8
6668,25,No,Travel Rarely,Network Administration,29,PhD,2,MALE,126926,3,7,Manager,2,Married,5,Yes,60,20,1,7,6,8
2855,39,Yes,Travel Rarely,Cyber Security,26,Below College,3,male,88225,1,7,QA Analyst,2,Single,1,No,78,17,4,7,10,5
4718,26,Yes,Travel Frequently,Cyber Security,41,Graduation,2,female,159131,4,5,Software Engineer,5,Married,1,No,57,17,3,0,1,5
5830,38,No,Travel Frequently,IT Services,3,Degree,5,FEMALE,,1,6,Technician,3,Divorced,3,No,8,8,1,5,1,0
7797,45,No,Travel Rarely,Software Development,32,Master's,4,MALE,97870,3,7,Business Analyst,4,Divorced,9,Yes,1,4,3,3,6,7
8006,46,Yes,Travel Rarely,Data Science,16,Graduation,5,FEMALE,180803,2,1,Director,5,Single,0,No,57,9,1,0,0,5
3552,32,No,Travel Rarely,Network Administration,41,Graduation,3,MALE,169449,1,5,Software Engineer,2,Married,3,Yes,90,8,5,0,10,7
9515,18,No,Travel Rarely,Network Administration,8,Degree,2,male,150990,3,7,Business Analyst,5,Divorced,10,No,17,12,2,7,3,3
2474,21,No,Travel Frequently,Software Development,27,Graduation,4,male,125752,5,7,IT,5,Married,4,Yes,95,16,5,6,7,0
4614,50,No,No Travel,Cyber Security,17,Graduation,3,FEMALE,118144,4,5,QA Analyst,1,Married,9,No,20,8,5,6,2,4
7656,18,No,Travel Rarely,Software Development,2,Graduation,2,FEMALE,176626,4,1,Technician,4,Married,7,Yes,69,1,3,3,4,5
6708,60,No,Travel Rarely,Data Science,27,Master's,3,male,99611,4,5,HR,5,Married,9,No,24,0,3,8,7,6
5114,55,No,No Travel,IT Services,13,Graduation,4,female,53623,1,5,Help Desk,2,Married,9,Yes,24,6,2,0,8,6
7748,34,Yes,Travel Frequently,Network Administration,30,Graduation,4,male,114849,3,4,Manager,1,Married,4,No,58,8,2,1,0,8
7612,62,No,Travel Rarely,Software Development,30,Degree,3,female,183696,3,5,Software Engineer,4,Single,1,No,54,3,2,0,4,8
8728,48,No,Travel Rarely,Data Science,45,Graduation,5,MALE,175338,3,8,Director,5,Single,8,No,37,3,,6,5,5
1986,29,No,Travel Rarely,Cyber Security,29,Degree,5,MALE,,4,5,Manager,3,Married,4,No,66,2,3,10,3,8
1791,42,No,Travel Rarely,Network Administration,37,Graduation,5,female,67906,1,3,Support,3,Married,2,No,94,5,1,3,5,1
4140,53,No,Travel Rarely,Data Science,11,Graduation,5,FEMALE,113289,1,2,Help Desk,5,Married,10,Yes,14,12,4,1,9,4
4103,38,No,Travel Frequently,IT Services,31,Below College,5,FEMALE,76088,3,7,HR,5,Single,8,Yes,52,3,2,7,4,6
5241,52,No,Travel Frequently,Software Development,20,Degree,3,FEMALE,157614,4,5,Consultant,5,Divorced,8,No,57,12,4,3,8,7
9660,51,Yes,Travel Frequently,Cyber Security,15,PhD,5,male,110878,2,5,Consultant,2,Single,0,No,83,11,5,0,7,6
816,49,No,Travel Rarely,Cyber Security,43,PhD,5,male,187116,5,7,Help Desk,5,Married,6,No,73,7,2,8,9,4
2776,36,No,Travel Rarely,Data Science,42,Graduation,4,FEMALE,175652,3,7,Business Analyst,2,Single,1,No,19,14,2,4,10,6
450,31,No,No Travel,Cyber Security,37,Master's,3,MALE,181693,5,5,Manager,3,Divorced,2,No,13,7,5,8,3,0
6991,26,No,Travel Rarely,Software Development,32,Degree,1,FEMALE,178795,3,8,IT,2,Married,5,No,34,11,3,1,8,3
3554,28,Yes,No Travel,Network Administration,12,Degree,2,female,100580,2,8,Technician,4,Single,6,No,14,6,2,9,4,5
9642,18,No,Travel Rarely,Data Science,21,Graduation,4,male,75387,4,5,Director,3,Married,1,No,32,14,2,10,4,0
2149,32,No,No Travel,Software Development,12,Graduation,2,male,177240,4,6,Technician,1,Divorced,8,No,39,4,1,10,10,2
9947,34,No,Travel Rarely,Network Administration,38,Graduation,5,female,96256,3,3,Support,2,Divorced,3,No,10,3,3,5,10,1
5884,61,No,Travel Rarely,Data Science,15,Degree,3,female,176362,2,1,Director,4,Divorced,3,Yes,49,14,5,0,9,0
7817,57,Yes,Travel Rarely,Network Administration,29,Degree,5,MALE,197492,1,5,Director,3,Divorced,6,No,90,20,1,4,8,8
4887,22,No,No Travel,Cyber Security,36,PhD,5,female,59666,5,3,Software Engineer,5,Married,10,No,68,16,5,1,0,3
5220,57,Yes,Travel Frequently,Cyber Security,46,Below College,1,female,39970,5,1,IT,,Single,4,Yes,17,17,2,2,6,4
4494,54,No,No Travel,Data Science,3,Master's,5,male,173795,1,6,IT,1,Single,8,Yes,86,20,5,3,6,4
5834,54,No,No Travel,Data Science,45,PhD,5,MALE,74228,5,2,Consultant,5,Divorced,10,No,65,1,3,2,5,2
1614,42,Yes,Travel Rarely,Software Development,46,Graduation,2,male,153267,5,5,Developer,,Single,7,Yes,47,15,2,10,5,6
3449,21,No,Travel Rarely,IT Services,24,Master's,2,FEMALE,128250,2,2,Manager,1,Divorced,0,No,0,13,4,8,10,3
9102,42,Yes,Travel Frequently,Data Science,47,Degree,2,MALE,82629,2,2,Manager,,Single,1,No,87,7,1,10,0,2
5637,43,No,Travel Rarely,IT Services,24,Degree,4,female,100305,5,7,Software Engineer,1,Single,0,No,84,12,2,3,4,6
4309,47,Yes,Travel Rarely,Cyber Security,12,Graduation,1,male,159556,2,3,HR,4,Divorced,8,Yes,66,19,4,7,9,6
6745,60,Yes,Travel Frequently,Cyber Security,33,Graduation,3,male,80133,5,2,HR,4,Married,0,No,54,1,4,3,10,5
7515,27,Yes,Travel Frequently,Network Administration,46,PhD,1,female,66408,3,2,Support,1,Single,6,No,74,19,3,9,2,8
9519,19,Yes,Travel Frequently,Software Development,38,Graduation,1,female,121081,5,2,Manager,1,Married,6,No,20,1,4,0,9,5
7131,25,No,Travel Rarely,Cyber Security,43,Degree,3,male,166243,3,1,Consultant,2,Single,6,No,12,15,5,8,4,5
3399,49,No,Travel Frequently,Data Science,11,Degree,4,male,93727,3,3,Consultant,5,Single,0,No,12,1,1,3,3,8
1483,46,No,Travel Rarely,IT Services,5,Graduation,3,FEMALE,65607,3,4,Technician,5,Married,0,No,61,17,4,1,7,0
6336,33,No,No Travel,Software Development,39,Graduation,1,male,89339,5,1,Help Desk,3,Divorced,8,Yes,91,18,4,4,10,8
9068,59,Yes,Travel Rarely,IT Services,23,Graduation,4,MALE,171785,1,2,Business Analyst,4,Married,4,Yes,78,9,2,2,8,7
3483,39,No,Travel Frequently,Cyber Security,14,Graduation,5,MALE,201292,3,7,Software Engineer,3,Married,4,Yes,37,19,2,2,4,0
